Metro_Metro_Key,Metro_Zip_Key
"Winchester, VA","Winchester, VA-WV"
"Norwalk, OH","Norwalk, OH"
"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI"
"Auburn, NY","Auburn, NY"
"Kingston, NY","Kingston, NY"
"Oneonta, NY","Oneonta, NY"
"Midland, MI","Midland, MI"
"Hinesville, GA","Hinesville, GA"
"Glens Falls, NY","Glens Falls, NY"
"Hagerstown, MD","Hagerstown-Martinsburg, MD-WV"
"Fresno, CA","Fresno, CA"
"Virginia Beach, VA","Virginia Beach-Norfolk-Newport News, VA-NC"
"Elko, NV","Elko, NV"
"San Diego, CA","San Diego-Chula Vista-Carlsbad, CA"
"Provo, UT","Provo-Orem, UT"
"Bakersfield, CA","Bakersfield, CA"
"Oxford, MS","Oxford, MS"
"Fremont, OH","Fremont, OH"
"Coffeyville, KS","Coffeyville, KS"
"Salt Lake City, UT","Salt Lake City, UT"
"Kalamazoo, MI","Kalamazoo-Portage, MI"
"Sterling, IL","Sterling, IL"
"Albuquerque, NM","Albuquerque, NM"
"Ogden, UT","Ogden-Clearfield, UT"
"Jacksonville, NC","Jacksonville, NC"
"Greeley, CO","Greeley, CO"
"Merced, CA","Merced, CA"
"Grand Rapids, MI","Grand Rapids-Kentwood, MI"
"San Luis Obispo, CA","San Luis Obispo-Paso Robles, CA"
"Kansas City, MO","Kansas City, MO-KS"
"Peoria, IL","Peoria, IL"
"Utica, NY","Utica-Rome, NY"
"Brainerd, MN","Brainerd, MN"
"Portland, OR","Portland-Vancouver-Hillsboro, OR-WA"
"Salem, OR","Salem, OR"
"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV"
"Salinas, CA","Salinas, CA"
"Visalia, CA","Visalia, CA"
"Vallejo, CA","Vallejo, CA"
"Vineland, NJ","Vineland-Bridgeton, NJ"
"Santa Rosa, CA","Santa Rosa-Petaluma, CA"
"Traverse City, MI","Traverse City, MI"
"Augusta, ME","Augusta-Waterville, ME"
"Corvallis, OR","Corvallis, OR"
"Cambridge, MD","Cambridge, MD"
"Carlsbad, NM","Carlsbad-Artesia, NM"
"Bremerton, WA","Bremerton-Silverdale-Port Orchard, WA"
"Phoenix, AZ","Phoenix-Mesa-Chandler, AZ"
"Olympia, WA","Olympia-Lacey-Tumwater, WA"
"Seattle, WA","Seattle-Tacoma-Bellevue, WA"
"Fayetteville, NC","Fayetteville, NC"
"Hudson, NY","Hudson, NY"
"Dover, DE","Dover, DE"
"Muskogee, OK","Muskogee, OK"
"Raleigh, NC","Raleigh-Cary, NC"
"Holland, MI","Grand Rapids-Kentwood, MI"
"Holland, MI","Holland, MI"
"Decatur, IL","Decatur, IL"
"Cincinnati, OH","Cincinnati, OH-KY-IN"
"Redding, CA","Redding, CA"
"Cheyenne, WY","Cheyenne, WY"
"Chico, CA","Chico, CA"
"Fernley, NV","Fernley, NV"
"Yakima, WA","Yakima, WA"
"Willmar, MN","Willmar, MN"
"Greenville, NC","Greenville, NC"
"Centralia, IL","Centralia, IL"
"Duluth, MN","Duluth, MN-WI"
"Columbus, OH","Columbus, OH"
"Roanoke, VA","Roanoke, VA"
"Santa Maria, CA","Santa Maria-Santa Barbara, CA"
"Milledgeville, GA","Milledgeville, GA"
"Toledo, OH","Toledo, OH"
"Milwaukee, WI","Milwaukee-Waukesha, WI"
"Texarkana, TX","Texarkana, TX-AR"
"Davenport, IA","Davenport-Moline-Rock Island, IA-IL"
"Faribault, MN","Faribault-Northfield, MN"
"Carbondale, IL","Carbondale-Marion, IL"
"Whitewater, WI","Whitewater, WI"
"Detroit, MI","Detroit-Warren-Dearborn, MI"
"Ponca City, OK","Ponca City, OK"
"Tucson, AZ","Tucson, AZ"
"Iowa City, IA","Iowa City, IA"
"Wheeling, WV","Wheeling, WV-OH"
"Jackson, MI","Jackson, MI"
"Pittsfield, MA","Pittsfield, MA"
"Marietta, OH","Marietta, OH"
"Rochester, MN","Rochester, MN"
"Albany, OR","Albany-Lebanon, OR"
"Albany, OR","Corvallis, OR"
"Shelton, WA","Shelton, WA"
"Lawrence, KS","Lawrence, KS"
"Kankakee, IL","Kankakee, IL"
"Truckee, CA","Truckee-Grass Valley, CA"
"DuBois, PA","DuBois, PA"
"Cape Girardeau, MO","Cape Girardeau, MO-IL"
"Ocean City, NJ","Ocean City, NJ"
"Medford, OR","Medford, OR"
"Frankfort, IN","Frankfort, IN"
"Atlantic City, NJ","Atlantic City-Hammonton, NJ"
"Bellingham, WA","Bellingham, WA"
"Rochelle, IL","Rochelle, IL"
"Meadville, PA","Meadville, PA"
"Red Wing, MN","Red Wing, MN"
"Des Moines, IA","Des Moines-West Des Moines, IA"
"Quincy, IL","Quincy, IL-MO"
"Galesburg, IL","Galesburg, IL"
"Blacksburg, VA","Blacksburg-Christiansburg, VA"
"El Paso, TX","El Paso, TX"
"Santa Cruz, CA","Santa Cruz-Watsonville, CA"
"Jefferson City, MO","Jefferson City, MO"
"Hanford, CA","Hanford-Corcoran, CA"
"Roswell, NM","Roswell, NM"
"Taylorville, IL","Taylorville, IL"
"Durham, NC","Durham-Chapel Hill, NC"
"Oklahoma City, OK","Oklahoma City, OK"
"Fergus Falls, MN","Fergus Falls, MN"
"Rapid City, SD","Rapid City, SD"
"Charleston, SC","Charleston-North Charleston, SC"
"Logan, UT","Logan, UT-ID"
"Birmingham, AL","Birmingham-Hoover, AL"
"Grand Forks, ND","Grand Forks, ND-MN"
"Madera, CA","Madera, CA"
"Fargo, ND","Fargo, ND-MN"
"Houston, TX","Houston-The Woodlands-Sugar Land, TX"
"Cadillac, MI","Cadillac, MI"
"Tiffin, OH","Tiffin, OH"
"Scranton, PA","Scranton--Wilkes-Barre, PA"
"Reno, NV","Reno, NV"
"Point Pleasant, WV","Point Pleasant, WV-OH"
"Savannah, GA","Savannah, GA"
"Pinehurst, NC","Pinehurst-Southern Pines, NC"
"Dallas, TX","Dallas-Fort Worth-Arlington, TX"
"Muscatine, IA","Muscatine, IA"
"Moberly, MO","Moberly, MO"
"Alexandria, MN","Alexandria, MN"
"Gadsden, AL","Gadsden, AL"
"College Station, TX","College Station-Bryan, TX"
"Lexington, KY","Lexington-Fayette, KY"
"Beaver Dam, WI","Beaver Dam, WI"
"Carson City, NV","Carson City, NV"
"Carson City, NV","Gardnerville Ranchos, NV"
"Johnstown, PA","Johnstown, PA"
"Denver, CO","Denver-Aurora-Lakewood, CO"
"Flagstaff, AZ","Flagstaff, AZ"
"Lebanon, MO","Lebanon, MO"
"Greenville, SC","Greenville-Anderson, SC"
"Killeen, TX","Killeen-Temple, TX"
"Gloversville, NY","Gloversville, NY"
"Salisbury, MD","Salisbury, MD-DE"
"Greensboro, NC","Greensboro-High Point, NC"
"Bartlesville, OK","Bartlesville, OK"
"Pittsburgh, PA","Pittsburgh, PA"
"Eugene, OR","Eugene-Springfield, OR"
"Bend, OR","Bend, OR"
"Lima, OH","Lima, OH"
"Tulsa, OK","Tulsa, OK"
"Frankfort, KY","Frankfort, KY"
"Wichita Falls, TX","Wichita Falls, TX"
"Fayetteville, AR","Fayetteville-Springdale-Rogers, AR"
"Louisville, KY","Louisville/Jefferson County, KY-IN"
"Lynchburg, VA","Lynchburg, VA"
"Sioux City, IA","Sioux City, IA-NE-SD"
"New Bern, NC","New Bern, NC"
"Charlotte, NC","Charlotte-Concord-Gastonia, NC-SC"
"Ames, IA","Ames, IA"
"Auburn, AL","Auburn-Opelika, AL"
"Bennington, VT","Bennington, VT"
"Spokane, WA","Spokane-Spokane Valley, WA"
"Monroe, MI","Monroe, MI"
"Marion, IN","Marion, IN"
"Greenwood, SC","Greenwood, SC"
"Amarillo, TX","Amarillo, TX"
"Hannibal, MO","Hannibal, MO"
"Longview, WA","Longview, WA"
"Youngstown, OH","Youngstown-Warren-Boardman, OH-PA"
"Enid, OK","Enid, OK"
"Barre, VT","Barre, VT"
"Huntington, WV","Huntington-Ashland, WV-KY-OH"
"Augusta, GA","Augusta-Richmond County, GA-SC"
"Prineville, OR","Prineville, OR"
"Colorado Springs, CO","Colorado Springs, CO"
"Clovis, NM","Clovis, NM"
"Kendallville, IN","Kendallville, IN"
"Port Angeles, WA","Port Angeles, WA"
"Flint, MI","Flint, MI"
"Burlington, NC","Burlington, NC"
"Mount Pleasant, MI","Mount Pleasant, MI"
"Yuma, AZ","Yuma, AZ"
"Wenatchee, WA","Wenatchee, WA"
"Dubuque, IA","Dubuque, IA"
"Nashville, TN","Nashville-Davidson--Murfreesboro--Franklin, TN"
"Huntsville, AL","Huntsville, AL"
"Mankato, MN","Mankato, MN"
"Goldsboro, NC","Goldsboro, NC"
"Huntsville, TX","Huntsville, TX"
"Indianapolis, IN","Indianapolis-Carmel-Anderson, IN"
"Olean, NY","Olean, NY"
"Wilmington, NC","Wilmington, NC"
"San Antonio, TX","San Antonio-New Braunfels, TX"
"Lakeland, FL","Lakeland-Winter Haven, FL"
"Ashtabula, OH","Ashtabula, OH"
"Orlando, FL","Orlando-Kissimmee-Sanford, FL"
"Twin Falls, ID","Twin Falls, ID"
"Green Bay, WI","Green Bay, WI"
"Columbia, MO","Columbia, MO"
"Alexandria, LA","Alexandria, LA"
"Omaha, NE","Omaha-Council Bluffs, NE-IA"
"Tallahassee, FL","Tallahassee, FL"
"Monroe, LA","Monroe, LA"
"Knoxville, TN","Knoxville, TN"
"Scottsboro, AL","Scottsboro, AL"
"Jackson, TN","Jackson, TN"
"Las Cruces, NM","Las Cruces, NM"
"Seymour, IN","Seymour, IN"
"Elkhart, IN","Elkhart-Goshen, IN"
"Columbia, SC","Columbia, SC"
"Florence, AL","Florence-Muscle Shoals, AL"
"Durango, CO","Durango, CO"
"Atlanta, GA","Atlanta-Sandy Springs-Alpharetta, GA"
"Laredo, TX","Laredo, TX"
"Battle Creek, MI","Battle Creek, MI"
"Springfield, MO","Springfield, MO"
"Centralia, WA","Centralia, WA"
"Oak Harbor, WA","Oak Harbor, WA"
"Cedar Rapids, IA","Cedar Rapids, IA"
"Johnson City, TN","Johnson City, TN"
"Salem, OH","Salem, OH"
"Burley, ID","Burley, ID"
"Saginaw, MI","Saginaw, MI"
"Burlington, IA","Burlington, IA-IL"
"Amsterdam, NY","Amsterdam, NY"
"Muskegon, MI","Muskegon, MI"
"Little Rock, AR","Little Rock-North Little Rock-Conway, AR"
"Roseburg, OR","Roseburg, OR"
"Grand Junction, CO","Grand Junction, CO"
"Salina, KS","Salina, KS"
"Chattanooga, TN","Chattanooga, TN-GA"
"Elizabeth City, NC","Elizabeth City, NC"
"Clarksburg, WV","Clarksburg, WV"
"Wichita, KS","Wichita, KS"
"Warner Robins, GA","Warner Robins, GA"
"Scottsbluff, NE","Scottsbluff, NE"
"Hilo, HI","Hilo, HI"
"Gainesville, GA","Gainesville, GA"
"Napa, CA","Napa, CA"
"Brownwood, TX","Brownwood, TX"
"Show Low, AZ","Show Low, AZ"
"Batesville, AR","Batesville, AR"
"Waterloo, IA","Waterloo-Cedar Falls, IA"
"Lafayette, LA","Lafayette, LA"
"Talladega, AL","Talladega-Sylacauga, AL"
"Grants Pass, OR","Grants Pass, OR"
"Austin, TX","Austin-Round Rock-Georgetown, TX"
"Lake Havasu City, AZ","Lake Havasu City-Kingman, AZ"
"Clewiston, FL","Clewiston, FL"
"Tampa, FL","Tampa-St. Petersburg-Clearwater, FL"
"Baton Rouge, LA","Baton Rouge, LA"
"Enterprise, AL","Enterprise, AL"
"Watertown, NY","Watertown-Fort Drum, NY"
"Santa Fe, NM","Santa Fe, NM"
"Memphis, TN","Memphis, TN-MS-AR"
"McAlester, OK","McAlester, OK"
"Durant, OK","Durant, OK"
"Searcy, AR","Searcy, AR"
"Fremont, NE","Fremont, NE"
"Paris, TX","Paris, TX"
"Danville, IL","Danville, IL"
"Corsicana, TX","Corsicana, TX"
"Lewiston, ID","Lewiston, ID-WA"
"Sidney, OH","Sidney, OH"
"Zanesville, OH","Zanesville, OH"
"Lincoln, NE","Lincoln, NE"
"Hammond, LA","Hammond, LA"
"Fort Wayne, IN","Fort Wayne, IN"
"Tuscaloosa, AL","Tuscaloosa, AL"
"Pottsville, PA","Pottsville, PA"
"Bozeman, MT","Bozeman, MT"
"Fort Collins, CO","Fort Collins, CO"
"Jacksonville, FL","Jacksonville, FL"
"Midland, TX","Midland, TX"
"Fort Smith, AR","Fort Smith, AR-OK"
"Red Bluff, CA","Red Bluff, CA"
"Joplin, MO","Joplin, MO"
"Coeur d'Alene, ID","Coeur d'Alene, ID"
"Montrose, CO","Montrose, CO"
"Findlay, OH","Findlay, OH"
"Sandusky, OH","Sandusky, OH"
"Hilton Head Island, SC","Hilton Head Island-Bluffton, SC"
"Myrtle Beach, SC","Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
"Sanford, NC","Sanford, NC"
"Boulder, CO","Boulder, CO"
"Lafayette, IN","Lafayette-West Lafayette, IN"
"Kingsport, TN","Kingsport-Bristol, TN-VA"
"Athens, TN","Athens, TN"
"Poplar Bluff, MO","Poplar Bluff, MO"
"Bloomsburg, PA","Bloomsburg-Berwick, PA"
"Edwards, CO","Edwards, CO"
"Moses Lake, WA","Moses Lake, WA"
"Lewisburg, TN","Lewisburg, TN"
"Clarksville, TN","Clarksville, TN-KY"
"Idaho Falls, ID","Idaho Falls, ID"
"Rexburg, ID","Rexburg, ID"
"North Port, FL","North Port-Sarasota-Bradenton, FL"
"Shreveport, LA","Shreveport-Bossier City, LA"
"Big Rapids, MI","Big Rapids, MI"
"Ocala, FL","Ocala, FL"
"Coldwater, MI","Coldwater, MI"
"Bowling Green, KY","Bowling Green, KY"
"Palm Bay, FL","Palm Bay-Melbourne-Titusville, FL"
"Ardmore, OK","Ardmore, OK"
"Russellville, AR","Russellville, AR"
"Bangor, ME","Bangor, ME"
"Spartanburg, SC","Spartanburg, SC"
"Columbus, GA","Columbus, GA-AL"
"Montgomery, AL","Montgomery, AL"
"Morgantown, WV","Morgantown, WV"
"Morehead City, NC","Morehead City, NC"
"Mineral Wells, TX","Mineral Wells, TX"
"Farmington, MO","Farmington, MO"
"Kinston, NC","Kinston, NC"
"Deltona, FL","Deltona-Daytona Beach-Ormond Beach, FL"
"Corpus Christi, TX","Corpus Christi, TX"
"Kokomo, IN","Kokomo, IN"
"Sturgis, MI","Sturgis, MI"
"Glenwood Springs, CO","Glenwood Springs, CO"
"Crestview, FL","Crestview-Fort Walton Beach-Destin, FL"
"Adrian, MI","Adrian, MI"
"Blackfoot, ID","Blackfoot, ID"
"Bellefontaine, OH","Bellefontaine, OH"
"Niles, MI","Niles, MI"
"Abilene, TX","Abilene, TX"
"Walla Walla, WA","Walla Walla, WA"
"Weirton, WV","Weirton-Steubenville, WV-OH"
"Miami, FL","Miami-Fort Lauderdale-Pompano Beach, FL"
"Jackson, MS","Jackson, MS"
"Gainesville, TX","Gainesville, TX"
"Astoria, OR","Astoria, OR"
"Pahrump, NV","Pahrump, NV"
"Greenville, OH","Greenville, OH"
"Pensacola, FL","Pensacola-Ferry Pass-Brent, FL"
"Asheville, NC","Asheville, NC"
"Lake Charles, LA","Lake Charles, LA"
"Warsaw, IN","Warsaw, IN"
"Branson, MO","Branson, MO"
"Eau Claire, WI","Eau Claire, WI"
"East Stroudsburg, PA","East Stroudsburg, PA"
"Jasper, IN","Jasper, IN"
"New Orleans, LA","New Orleans-Metairie, LA"
"Athens, GA","Athens-Clarke County, GA"
"North Platte, NE","North Platte, NE"
"West Plains, MO","West Plains, MO"
"Wilmington, OH","Wilmington, OH"
"Charleston, WV","Charleston, WV"
"Steamboat Springs, CO","Steamboat Springs, CO"
"Stillwater, OK","Stillwater, OK"
"Hickory, NC","Hickory-Lenoir-Morganton, NC"
"Georgetown, SC","Georgetown, SC"
"Rolla, MO","Rolla, MO"
"Malone, NY","Malone, NY"
"Appleton, WI","Appleton, WI"
"Ludington, MI","Ludington, MI"
"Cullman, AL","Cullman, AL"
"Clinton, IA","Clinton, IA"
"The Villages, FL","The Villages, FL"
"Rutland, VT","Rutland, VT"
"McAllen, TX","McAllen-Edinburg-Mission, TX"
"Corning, NY","Corning, NY"
"Ashland, OH","Ashland, OH"
"Hermiston, OR","Hermiston-Pendleton, OR"
"Michigan City, IN","Michigan City-La Porte, IN"
"Aberdeen, WA","Aberdeen, WA"
"Ellensburg, WA","Ellensburg, WA"
"Springfield, OH","Springfield, OH"
"Bemidji, MN","Bemidji, MN"
"Naples, FL","Naples-Marco Island, FL"
"Sierra Vista, AZ","Sierra Vista-Douglas, AZ"
"Decatur, AL","Decatur, AL"
"Sebastian, FL","Sebastian-Vero Beach, FL"
"Punta Gorda, FL","Punta Gorda, FL"
"Hattiesburg, MS","Hattiesburg, MS"
"Norfolk, NE","Norfolk, NE"
"Payson, AZ","Payson, AZ"
"Cornelia, GA","Cornelia, GA"
"Mobile, AL","Mobile, AL"
"Jefferson, GA","Jefferson, GA"
"Fort Madison, IA","Fort Madison-Keokuk, IA-IL-MO"
"Ukiah, CA","Ukiah, CA"
"Clearlake, CA","Clearlake, CA"
"Cedar City, UT","Cedar City, UT"
"Cape Coral, FL","Cape Coral-Fort Myers, FL"
"Gainesville, FL","Gainesville, FL"
"Easton, MD","Easton, MD"
"Tyler, TX","Tyler, TX"
"Sebring, FL","Sebring-Avon Park, FL"
"South Bend, IN","South Bend-Mishawaka, IN-MI"
"Columbus, IN","Columbus, IN"
"Sumter, SC","Sumter, SC"
"Brunswick, GA","Brunswick, GA"
"Waco, TX","Waco, TX"
"Elizabethtown, KY","Elizabethtown-Fort Knox, KY"
"Breckenridge, CO","Breckenridge, CO"
"Seneca, SC","Seneca, SC"
"Kahului, HI","Kahului-Wailuku-Lahaina, HI"
"Statesboro, GA","Statesboro, GA"
"Angola, IN","Angola, IN"
"Anniston, AL","Anniston-Oxford, AL"
"Terre Haute, IN","Terre Haute, IN"
"Muncie, IN","Muncie, IN"
"Madisonville, KY","Madisonville, KY"
"Rocky Mount, NC","Rocky Mount, NC"
"Klamath Falls, OR","Klamath Falls, OR"
"Spearfish, SD","Spearfish, SD"
"Farmington, NM","Farmington, NM"
"London, KY","London, KY"
"Danville, VA","Danville, VA"
"Cleveland, TN","Cleveland, TN"
"Mason City, IA","Mason City, IA"
"Kapaa, HI","Kapaa, HI"
"Jonesboro, AR","Jonesboro, AR"
"Hillsdale, MI","Hillsdale, MI"
"Evansville, IN","Evansville, IN-KY"
"Coos Bay, OR","Coos Bay, OR"
"Mount Vernon, WA","Mount Vernon-Anacortes, WA"
"Panama City, FL","Panama City, FL"
"Paducah, KY","Paducah, KY-IL"
"Newport, OR","Newport, OR"
"Tahlequah, OK","Tahlequah, OK"
"New Castle, IN","New Castle, IN"
"Crawfordsville, IN","Crawfordsville, IN"
"Victoria, TX","Victoria, TX"
"Hastings, NE","Hastings, NE"
"Washington, NC","Washington, NC"
"Bloomington, IN","Bloomington, IN"
"Bloomington, IN","Bedford, IN"
"Greeneville, TN","Greeneville, TN"
"Sherman, TX","Sherman-Denison, TX"
"Lumberton, NC","Lumberton, NC"
"Richmond, KY","Richmond-Berea, KY"
"Lawton, OK","Lawton, OK"
"Lubbock, TX","Lubbock, TX"
"Lubbock, TX","Levelland, TX"
"Marshalltown, IA","Marshalltown, IA"
"Boone, NC","Boone, NC"
"Pueblo, CO","Pueblo, CO"
"Dothan, AL","Dothan, AL"
"Calhoun, GA","Calhoun, GA"
"Ontario, OR","Ontario, OR-ID"
"Kerrville, TX","Kerrville, TX"
"Mansfield, OH","Mansfield, OH"
"Marinette, WI","Marinette, WI-MI"
"Auburn, IN","Auburn, IN"
"Warrensburg, MO","Warrensburg, MO"
"Daphne, AL","Daphne-Fairhope-Foley, AL"
"Marion, OH","Marion, OH"
"Austin, MN","Austin, MN"
"Longview, TX","Longview, TX"
"Macon, GA","Macon-Bibb County, GA"
"Cookeville, TN","Cookeville, TN"
"Key West, FL","Key West, FL"
"Morristown, TN","Morristown, TN"
"Brownsville, TX","Brownsville-Harlingen, TX"
"Crossville, TN","Crossville, TN"
"Cullowhee, NC","Cullowhee, NC"
"Wilson, NC","Wilson, NC"
"Shawnee, OK","Shawnee, OK"
"Dalton, GA","Dalton, GA"
"Sandpoint, ID","Sandpoint, ID"
"Ada, OK","Ada, OK"
"Hot Springs, AR","Hot Springs, AR"
"Rome, GA","Rome, GA"
"Orangeburg, SC","Orangeburg, SC"
"Danville, KY","Danville, KY"
"Mount Airy, NC","Mount Airy, NC"
"Mount Airy, NC","Winston-Salem, NC"
"Tullahoma, TN","Tullahoma-Manchester, TN"
"Butte, MT","Butte-Silver Bow, MT"
"Jackson, WY","Jackson, WY-ID"
"Huntington, IN","Huntington, IN"
"Bardstown, KY","Bardstown, KY"
"Pittsburg, KS","Pittsburg, KS"
"Somerset, KY","Somerset, KY"
"Pocatello, ID","Pocatello, ID"
"Gulfport, MS","Gulfport-Biloxi, MS"
"Mount Sterling, KY","Mount Sterling, KY"
"Florence, SC","Florence, SC"
"Sunbury, PA","Sunbury, PA"
"Beaumont, TX","Beaumont-Port Arthur, TX"
"Lake City, FL","Lake City, FL"
"Cedartown, GA","Cedartown, GA"
"Athens, TX","Athens, TX"
"Albertville, AL","Albertville, AL"
"Ottumwa, IA","Ottumwa, IA"
"Albany, GA","Albany, GA"
"Palatka, FL","Palatka, FL"
"McMinnville, TN","McMinnville, TN"
"Kennewick, WA","Kennewick-Richland, WA"
